全国地方公共団体コード,識別値,避難所種別,避難所種別小分類,名称,名称_カナ,通称,住所表記,郵便番号,緯度,経度,説明,連絡先名称,電話番号,担当課,担当課連絡先,対象地区,災害種別,屋内収容可能人数,屋外収容可能人数,備考,救護設備,備蓄倉庫,給水設備,炊事設備,発電設備,風呂,トイレ,その他設備
23226,,指定緊急避難場所,一時避難場所,大久手西公園,オオクテニシコウエン,,愛知県尾張旭市東大久手町一丁目８―１,4880003,35.223882,137.049969,災害発生直後、一時的に安全を確保する目的で避難する場所です。,大久手西公園,,災害対策室,0561-76-8127,,地震,,700,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,大久手東公園,オオクテヒガシコウエン,,愛知県尾張旭市東大久手町三丁目１１―１,4880003,35.222046,137.052646,災害発生直後、一時的に安全を確保する目的で避難する場所です。,大久手東公園,,災害対策室,0561-76-8127,,地震,,400,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,東栄公園,トウエイコウエン,,愛知県尾張旭市東栄町三丁目４－１,4880011,35.219741,137.052426,災害発生直後、一時的に安全を確保する目的で避難する場所です。,東栄公園,,災害対策室,0561-76-8127,,地震,,3200,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,出屋敷公園,デヤシキコウエン,,愛知県尾張旭市東栄町一丁目１４―１,4880011,35.217378,137.049878,災害発生直後、一時的に安全を確保する目的で避難する場所です。,出屋敷公園,,災害対策室,0561-76-8127,,地震,,300,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,藤池公園,フジイケコウエン,,愛知県尾張旭市東栄町一丁目４－２,4880011,35.219412,137.049599,災害発生直後、一時的に安全を確保する目的で避難する場所です。,藤池公園,,災害対策室,0561-76-8127,,地震,,200,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,旭台第１号公園,アサヒダイダイ１ゴウコウエン,,愛知県尾張旭市旭台一丁目１５,4880001,35.223203,137.057233,災害発生直後、一時的に安全を確保する目的で避難する場所です。,旭台第１号公園,,災害対策室,0561-76-8127,,地震,,1400,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,旭台第２号公園,アサヒダイダイ２ゴウコウエン,,愛知県尾張旭市旭台二丁目７-１,4880001,35.227444,137.056267,災害発生直後、一時的に安全を確保する目的で避難する場所です。,旭台第２号公園,,災害対策室,0561-76-8127,,地震,,1000,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,旭台第３号公園,アサヒダイダイ３ゴウコウエン,,愛知県尾張旭市旭台三丁目１８,4880001,35.228435,137.059963,災害発生直後、一時的に安全を確保する目的で避難する場所です。,旭台第３号公園,,災害対策室,0561-76-8127,,地震,,400,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,東名西公園,トウメイニシコウエン,,愛知県尾張旭市東名西町一丁目４９,4880844,35.207456,137.008234,災害発生直後、一時的に安全を確保する目的で避難する場所です。,東名西公園,,災害対策室,0561-76-8127,,地震,,800,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,長池上公園,ナガイケガミコウエン,,愛知県尾張旭市城山町城山１９―１,4880884,35.224167,137.027761,災害発生直後、一時的に安全を確保する目的で避難する場所です。,長池上公園,,災害対策室,0561-76-8127,,地震,,800,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,大塚公園,オオツカコウエン,,愛知県尾張旭市大塚町三丁目５,4880826,35.202507,137.020884,災害発生直後、一時的に安全を確保する目的で避難する場所です。,大塚公園,,災害対策室,0561-76-8127,,地震,,3000,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,西山公園,ニシヤマコウエン,,愛知県尾張旭市西山町二丁目５,4880824,35.197632,137.013384,災害発生直後、一時的に安全を確保する目的で避難する場所です。,西山公園,,災害対策室,0561-76-8127,,地震,,400,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,庄南公園,ショウナンコウエン,,愛知県尾張旭市庄南町一丁目１４,4880823,35.195704,137.017922,災害発生直後、一時的に安全を確保する目的で避難する場所です。,庄南公園,,災害対策室,0561-76-8127,,地震,,600,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,東山公園,ヒガシヤマコウエン,,愛知県尾張旭市東山町一丁目８,4880825,35.199601,137.016501,災害発生直後、一時的に安全を確保する目的で避難する場所です。,東山公園,,災害対策室,0561-76-8127,,地震,,1200,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,吉岡公園,ヨシオカコウエン,,愛知県尾張旭市吉岡町二丁目６,4880827,35.203533,137.025508,災害発生直後、一時的に安全を確保する目的で避難する場所です。,吉岡公園,,災害対策室,0561-76-8127,,地震,,1000,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,角田公園,スミタコウエン,,愛知県尾張旭市東三郷町２８０,4880017,35.213831,137.058885,災害発生直後、一時的に安全を確保する目的で避難する場所です。,角田公園,,災害対策室,0561-76-8127,,地震,,700,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,四門公園,シモンコウエン,,愛知県尾張旭市瀬戸川町一丁目１４６,4880023,35.211291,137.055634,災害発生直後、一時的に安全を確保する目的で避難する場所です。,四門公園,,災害対策室,0561-76-8127,,地震,,300,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,土井下公園,ドイシタコウエン,,愛知県尾張旭市瀬戸川町二丁目１０３,4880023,35.209739,137.056353,災害発生直後、一時的に安全を確保する目的で避難する場所です。,土井下公園,,災害対策室,0561-76-8127,,地震,,500,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,山の神公園,ヤマノカミコウエン,,愛知県尾張旭市瀬戸川町一丁目４３,4880023,35.212273,137.057748,災害発生直後、一時的に安全を確保する目的で避難する場所です。,山の神公園,,災害対策室,0561-76-8127,,地震,,400,,,,,,,,,
