全国地方公共団体コード,識別値,避難所種別,避難所種別小分類,避難所施設名,避難所施設名（カナ）,通称,住所表記,郵便番号,緯度,経度,説明,連絡先名称,電話番号,担当課,担当課連絡先,対象地区,災害種別,屋内収容可能人数,屋外収容可能人数,備考,救護設備,備蓄倉庫,給水設備,炊事設備,発電設備,風呂,トイレ,その他設備
23236,1,指定緊急避難場所,広域避難場所,中部小学校,チュウブショウガッコウ,,愛知県みよし市三好町宮ノ越31,4700224,35.085939,137.073490,,中部小学校,0561-32-1044,防災安全課,0561-32-8046,,洪水、土砂、地震、大規模火事、内水氾濫,,,,,,,,,,,
23236,1,指定避難所,避難所,中部小学校,チュウブショウガッコウ,,愛知県みよし市三好町宮ノ越31,4700224,35.085939,137.073490,,中部小学校,0561-32-1044,防災安全課,0561-32-8046,,,,,,,,,,,,,大型ヘリ
23236,2,指定緊急避難場所,広域避難場所,北部小学校,ホクブショウガッコウ,,愛知県みよし市根浦町三丁目9-47,4700217,35.109686,137.096221,,北部小学校,0561-36-1047,防災安全課,0561-32-8046,,洪水、土砂、地震、大規模火事、内水氾濫,,,,,,,,,,,
23236,2,指定避難所,避難所,北部小学校,ホクブショウガッコウ,,愛知県みよし市根浦町三丁目9-47,4700217,35.109686,137.096221,,北部小学校,0561-36-1047,防災安全課,0561-32-8046,,,,,,,,,,,,,
23236,3,指定緊急避難場所,広域避難場所,南部小学校,ナンブショウガッコウ,,愛知県みよし市明知町上細口27,4700214,35.070488,137.088934,,南部小学校,0561-32-1062,防災安全課,0561-32-8046,,洪水、土砂、地震、大規模火事、内水氾濫,,,,,,,,,,,
23236,3,指定避難所,避難所,南部小学校,ナンブショウガッコウ,,愛知県みよし市明知町上細口27,4700214,35.070488,137.088934,,南部小学校,0561-32-1062,防災安全課,0561-32-8046,,,,,,,,,,,,,大型ヘリ
23236,4,指定緊急避難場所,広域避難場所,天王小学校,テンノウショウガッコウ,,愛知県みよし市三好町天王51-75,4700224,35.090166,137.085586,,天王小学校,0561-32-2383,防災安全課,0561-32-8046,,洪水、土砂、地震、大規模火事、内水氾濫,,,,,,,,,,,
23236,4,指定避難所,避難所,天王小学校,テンノウショウガッコウ,,愛知県みよし市三好町天王51-75,4700224,35.090166,137.085586,,天王小学校,0561-32-2383,防災安全課,0561-32-8046,,,,,,,,,,,,,
23236,5,指定緊急避難場所,広域避難場所,三吉小学校,ミヨシショウガッコウ,,愛知県みよし市三好町半野木1-27,4700224,35.081820,137.063211,,三吉小学校,0561-34-3888,防災安全課,0561-32-8046,,洪水、土砂、地震、大規模火事、内水氾濫,,,,,,,,,,,
23236,5,指定避難所,避難所,三吉小学校,ミヨシショウガッコウ,,愛知県みよし市三好町半野木1-27,4700224,35.081820,137.063211,,三吉小学校,0561-34-3888,防災安全課,0561-32-8046,,,,,,,,,,,,,小型ヘリ
